Timestamp,Live Data,Predictions
2024-12-13 20:09:14,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 4.56, 'feels_like': 2.79, 'temp_min': 3.61, 'temp_max': 5.43, 'pressure': 1023, 'humidity': 93, 'sea_level': 1023, 'grnd_level': 1019}, 'visibility': 8000, 'wind': {'speed': 2.06, 'deg': 130}, 'clouds': {'all': 100}, 'dt': 1734102147, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1734076704, 'sunset': 1734105088}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}","[7.08, 7.08, 7.08, 7.08, 7.08]"
2024-12-13 20:09:24,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 4.56, 'feels_like': 2.79, 'temp_min': 3.61, 'temp_max': 5.43, 'pressure': 1023, 'humidity': 93, 'sea_level': 1023, 'grnd_level': 1019}, 'visibility': 8000, 'wind': {'speed': 2.06, 'deg': 130}, 'clouds': {'all': 100}, 'dt': 1734102147, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1734076704, 'sunset': 1734105088}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}","[7.08, 7.08, 7.08, 7.08, 7.08]"
2024-12-13 20:09:35,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 4.56, 'feels_like': 2.79, 'temp_min': 3.61, 'temp_max': 5.43, 'pressure': 1023, 'humidity': 93, 'sea_level': 1023, 'grnd_level': 1019}, 'visibility': 8000, 'wind': {'speed': 2.06, 'deg': 130}, 'clouds': {'all': 100}, 'dt': 1734102147, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1734076704, 'sunset': 1734105088}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}","[7.08, 7.08, 7.08, 7.08, 7.08]"
2024-12-13 20:09:46,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 4.56, 'feels_like': 2.79, 'temp_min': 3.61, 'temp_max': 5.43, 'pressure': 1023, 'humidity': 93, 'sea_level': 1023, 'grnd_level': 1019}, 'visibility': 8000, 'wind': {'speed': 2.06, 'deg': 130}, 'clouds': {'all': 100}, 'dt': 1734102147, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1734076704, 'sunset': 1734105088}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}","[7.08, 7.08, 7.08, 7.08, 7.08]"
2024-12-13 20:09:56,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 4.56, 'feels_like': 2.79, 'temp_min': 3.61, 'temp_max': 5.43, 'pressure': 1023, 'humidity': 93, 'sea_level': 1023, 'grnd_level': 1019}, 'visibility': 8000, 'wind': {'speed': 2.06, 'deg': 130}, 'clouds': {'all': 100}, 'dt': 1734102147, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1734076704, 'sunset': 1734105088}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}","[7.08, 7.08, 7.08, 7.08, 7.08]"
2024-12-13 20:10:07,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 4.56, 'feels_like': 2.79, 'temp_min': 3.61, 'temp_max': 5.43, 'pressure': 1023, 'humidity': 93, 'sea_level': 1023, 'grnd_level': 1019}, 'visibility': 8000, 'wind': {'speed': 2.06, 'deg': 130}, 'clouds': {'all': 100}, 'dt': 1734102147, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1734076704, 'sunset': 1734105088}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}","[7.08, 7.08, 7.08, 7.08, 7.08]"
2024-12-13 20:10:17,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 4.56, 'feels_like': 2.79, 'temp_min': 3.61, 'temp_max': 5.43, 'pressure': 1023, 'humidity': 93, 'sea_level': 1023, 'grnd_level': 1019}, 'visibility': 8000, 'wind': {'speed': 2.06, 'deg': 130}, 'clouds': {'all': 100}, 'dt': 1734102147, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1734076704, 'sunset': 1734105088}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}","[7.08, 7.08, 7.08, 7.08, 7.08]"
2024-12-13 20:10:28,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 4.56, 'feels_like': 2.79, 'temp_min': 3.61, 'temp_max': 5.43, 'pressure': 1023, 'humidity': 93, 'sea_level': 1023, 'grnd_level': 1019}, 'visibility': 8000, 'wind': {'speed': 2.06, 'deg': 130}, 'clouds': {'all': 100}, 'dt': 1734102147, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1734076704, 'sunset': 1734105088}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}","[7.08, 7.08, 7.08, 7.08, 7.08]"
2024-12-13 20:10:39,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 4.56, 'feels_like': 2.79, 'temp_min': 3.61, 'temp_max': 5.43, 'pressure': 1023, 'humidity': 93, 'sea_level': 1023, 'grnd_level': 1019}, 'visibility': 8000, 'wind': {'speed': 2.06, 'deg': 130}, 'clouds': {'all': 100}, 'dt': 1734102147, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1734076704, 'sunset': 1734105088}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}","[7.08, 7.08, 7.08, 7.08, 7.08]"
2024-12-13 20:10:50,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 4.56, 'feels_like': 2.79, 'temp_min': 3.61, 'temp_max': 5.43, 'pressure': 1023, 'humidity': 93, 'sea_level': 1023, 'grnd_level': 1019}, 'visibility': 8000, 'wind': {'speed': 2.06, 'deg': 130}, 'clouds': {'all': 100}, 'dt': 1734102147, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1734076704, 'sunset': 1734105088}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}","[7.08, 7.08, 7.08, 7.08, 7.08]"
